OTU_ID	taxonomy
OTU_448	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas; s__Unassigned.Comamonas
OTU_46	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas; s__Unassigned.Comamonas
OTU_18	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Unassigned.Comamonadaceae; s__Unassigned.Comamonadaceae
OTU_29	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Unassigned.Alcaligenaceae; s__Unassigned.Alcaligenaceae
OTU_27	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Unassigned.Alcaligenaceae; s__Unassigned.Alcaligenaceae
OTU_474	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Unassigned.Enterobacteriaceae; s__Unassigned.Enterobacteriaceae
OTU_21	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Unassigned.Aeromonadaceae; s__Unassigned.Aeromonadaceae
OTU_155	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Unassigned.Aeromonadaceae; s__Unassigned.Aeromonadaceae
OTU_15	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__Unassigned.Shewanella
OTU_4	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Unassigned.Enterobacteriaceae; s__Unassigned.Enterobacteriaceae
OTU_438	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Plesiomonas; s__shigelloides
OTU_376	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Plesiomonas; s__shigelloides
OTU_547	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Plesiomonas; s__shigelloides
OTU_406	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Unassigned.Clostridiaceae; s__Unassigned.Clostridiaceae
OTU_56	k__Bacteria; p__Chlamydiae; c__Chlamydiia; o__Chlamydiales; f__Parachlamydiaceae; g__Parachlamydia; s__Unassigned.Parachlamydia
OTU_65	k__Bacteria; p__Chlamydiae; c__Chlamydiia; o__Chlamydiales; f__Parachlamydiaceae; g__Unassigned.Parachlamydiaceae; s__Unassigned.Parachlamydiaceae
OTU_427	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Cetobacterium; s__somerae
OTU_125	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Cetobacterium; s__somerae
OTU_1	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Cetobacterium; s__somerae
OTU_12	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__Unassigned.Fusobacterium
OTU_146	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Cetobacterium; s__somerae
OTU_256	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Cetobacterium; s__somerae
OTU_532	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Unassigned.Clostridiaceae; s__Unassigned.Clostridiaceae
OTU_64	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Epulopiscium; s__Unassigned.Epulopiscium
OTU_88	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Epulopiscium; s__Unassigned.Epulopiscium
OTU_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Unassigned.Clostridiaceae; s__Unassigned.Clostridiaceae
OTU_251	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Unassigned.Peptostreptococcaceae; s__Unassigned.Peptostreptococcaceae
OTU_159	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Unassigned.Clostridiales; g__Unassigned.Clostridiales; s__Unassigned.Clostridiales
OTU_550	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Unassigned.Peptostreptococcaceae; s__Unassigned.Peptostreptococcaceae
OTU_500	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Unassigned.Peptostreptococcaceae; s__Unassigned.Peptostreptococcaceae
OTU_467	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Unassigned.Peptostreptococcaceae; s__Unassigned.Peptostreptococcaceae
OTU_135	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Unassigned.Clostridiales; g__Unassigned.Clostridiales; s__Unassigned.Clostridiales
OTU_134	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Unassigned.Clostridiales; g__Unassigned.Clostridiales; s__Unassigned.Clostridiales
OTU_507	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Unassigned.Clostridiales; g__Unassigned.Clostridiales; s__Unassigned.Clostridiales
OTU_395	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Unassigned.Clostridiales; g__Unassigned.Clostridiales; s__Unassigned.Clostridiales
OTU_431	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Unassigned.Bacillus
OTU_449	k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae; g__Turicibacter; s__Unassigned.Turicibacter
OTU_578	k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae; g__Turicibacter; s__Unassigned.Turicibacter
OTU_9	k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae; g__Turicibacter; s__Unassigned.Turicibacter
OTU_543	k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae; g__Turicibacter; s__Unassigned.Turicibacter
OTU_149	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Unassigned.Clostridiales; g__Unassigned.Clostridiales; s__Unassigned.Clostridiales
OTU_207	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Thermoactinomycetaceae; g__Unassigned.Thermoactinomycetaceae; s__Unassigned.Thermoactinomycetaceae
OTU_502	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Thermoactinomycetaceae; g__Unassigned.Thermoactinomycetaceae; s__Unassigned.Thermoactinomycetaceae
OTU_303	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__Unassigned.Paenibacillus
OTU_309	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__Unassigned.Paenibacillus
OTU_34	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__Unassigned.Paenibacillus
OTU_33	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__Unassigned.Paenibacillus
OTU_39	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__Unassigned.Paenibacillus
OTU_429	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__agilis
OTU_224	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Unassigned.Lactobacillus
OTU_476	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Unassigned.Lactobacillaceae; s__Unassigned.Lactobacillaceae
OTU_30	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Unassigned.Bacillus
OTU_82	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Unassigned.Bacillus
OTU_44	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Unassigned.Bacillus
OTU_219	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__horikoshii
OTU_131	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Unassigned.Bacillales; g__Unassigned.Bacillales; s__Unassigned.Bacillales
OTU_97	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus
OTU_183	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__firmus
OTU_161	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Lysinibacillus; s__boronitolerans
OTU_25	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Unassigned.Bacillus
OTU_24	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Unassigned.Bacillus
OTU_41	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Unassigned.Bacillaceae; s__Unassigned.Bacillaceae
OTU_152	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Unassigned.Bacillus
OTU_14	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Unassigned.Bacillus
OTU_170	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Unassigned.Clostridiaceae; s__Unassigned.Clostridiaceae
OTU_10	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Unassigned.Peptostreptococcaceae; s__Unassigned.Peptostreptococcaceae
OTU_93	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__Unassigned.Clostridium
OTU_59	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Unassigned.Clostridiaceae; s__Unassigned.Clostridiaceae
OTU_7	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__Unassigned.Clostridium
OTU_3	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__Unassigned.Clostridium
OTU_190	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Unassigned.Clostridiaceae; s__Unassigned.Clostridiaceae
OTU_6	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Unassigned.Clostridiaceae; s__Unassigned.Clostridiaceae
OTU_322	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Unassigned.Clostridiaceae; s__Unassigned.Clostridiaceae
OTU_80	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__Unassigned.Clostridium
OTU_143	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Unassigned.Clostridiaceae; s__Unassigned.Clostridiaceae
OTU_321	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__Unassigned.Clostridium
OTU_436	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__Unassigned.Clostridium
OTU_116	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__A17; s__Unassigned.A17
OTU_60	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__A17; s__Unassigned.A17
OTU_280	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__Unassigned.Pirellulaceae; s__Unassigned.Pirellulaceae
OTU_107	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__Unassigned.Pirellulaceae; s__Unassigned.Pirellulaceae
OTU_58	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__Unassigned.Pirellulaceae; s__Unassigned.Pirellulaceae
OTU_72	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__Unassigned.Pirellulaceae; s__Unassigned.Pirellulaceae
OTU_86	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Isosphaeraceae; g__Unassigned.Isosphaeraceae; s__Unassigned.Isosphaeraceae
OTU_117	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__B97; f__Unassigned.B97; g__Unassigned.B97; s__Unassigned.B97
OTU_57	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__Unassigned.Gemmataceae; s__Unassigned.Gemmataceae
OTU_222	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__Unassigned.Gemmataceae; s__Unassigned.Gemmataceae
OTU_223	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__Unassigned.Gemmataceae; s__Unassigned.Gemmataceae
OTU_285	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__Unassigned.Gemmataceae; s__Unassigned.Gemmataceae
OTU_68	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__Unassigned.Gemmataceae; s__Unassigned.Gemmataceae
OTU_77	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__Unassigned.Bdellovibrio
OTU_249	k__Bacteria; p__[Caldithrix]; c__KSB1; o__Ucn15732; f__Unassigned.Ucn15732; g__Unassigned.Ucn15732; s__Unassigned.Ucn15732
OTU_115	k__Bacteria; p__SBR1093; c__VHS-B5-50; o__Unassigned.VHS-B5-50; f__Unassigned.VHS-B5-50; g__Unassigned.VHS-B5-50; s__Unassigned.VHS-B5-50
OTU_89	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Unassigned.Myxococcales; g__Unassigned.Myxococcales; s__Unassigned.Myxococcales
OTU_52	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__Unassigned.Syntrophobacteraceae; s__Unassigned.Syntrophobacteraceae
OTU_81	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella; s__Unassigned.Legionella
OTU_91	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Unassigned.Legionellaceae; s__Unassigned.Legionellaceae
OTU_109	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Unassigned.Rhodospirillaceae; s__Unassigned.Rhodospirillaceae
OTU_399	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Unassigned.Rhodospirillaceae; s__Unassigned.Rhodospirillaceae
OTU_94	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Unassigned.Rhodobacteraceae; s__Unassigned.Rhodobacteraceae
OTU_54	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobacter; s__Unassigned.Rhodobacter
OTU_35	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobacter; s__Unassigned.Rhodobacter
OTU_22	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobacter; s__Unassigned.Rhodobacter
OTU_447	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobacter; s__Unassigned.Rhodobacter
OTU_197	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Unassigned.Rhizobiales; g__Unassigned.Rhizobiales; s__Unassigned.Rhizobiales
OTU_49	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__Unassigned.Agrobacterium
OTU_26	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Unassigned.Rhizobiales; g__Unassigned.Rhizobiales; s__Unassigned.Rhizobiales
OTU_71	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Unassigned.Rhizobiales; g__Unassigned.Rhizobiales; s__Unassigned.Rhizobiales
OTU_306	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Unassigned.Rhizobiales; g__Unassigned.Rhizobiales; s__Unassigned.Rhizobiales
OTU_85	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__Unassigned.Rhodoplanes
OTU_248	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Unassigned.Rhizobiales; g__Unassigned.Rhizobiales; s__Unassigned.Rhizobiales
OTU_48	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Unassigned.Hyphomicrobiaceae; s__Unassigned.Hyphomicrobiaceae
OTU_98	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Unassigned.Hyphomicrobiaceae; s__Unassigned.Hyphomicrobiaceae
OTU_43	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__Unassigned.mitochondria; s__Unassigned.mitochondria
OTU_276	k__Bacteria; p__Actinobacteria; c__MB-A2-108; o__0319-7L14; f__Unassigned.0319-7L14; g__Unassigned.0319-7L14; s__Unassigned.0319-7L14
OTU_100	k__Bacteria; p__Actinobacteria; c__Unassigned.Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__Unassigned.Mycobacterium
OTU_53	k__Bacteria; p__Actinobacteria; c__Unassigned.Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__Unassigned.Mycobacterium
OTU_283	k__Bacteria; p__Actinobacteria; c__Unassigned.Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__Unassigned.Mycobacterium
OTU_90	k__Bacteria; p__Actinobacteria; c__Unassigned.Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__Unassigned.Mycobacterium
OTU_163	k__Bacteria; p__Actinobacteria; c__Unassigned.Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__Unassigned.Mycobacterium
OTU_40	k__Bacteria; p__Actinobacteria; c__Unassigned.Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__Unassigned.Mycobacterium
OTU_50	k__Bacteria; p__Actinobacteria; c__Unassigned.Actinobacteria; o__Actinomycetales; f__Unassigned.Actinomycetales; g__Unassigned.Actinomycetales; s__Unassigned.Actinomycetales
OTU_87	k__Bacteria; p__Actinobacteria; c__Unassigned.Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Unassigned.Nocardioidaceae; s__Unassigned.Nocardioidaceae
OTU_104	k__Bacteria; p__Actinobacteria; c__Unassigned.Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Microbacterium; s__Unassigned.Microbacterium
OTU_99	k__Bacteria; p__Actinobacteria; c__Unassigned.Actinobacteria; o__Actinomycetales; f__ACK-M1; g__Unassigned.ACK-M1; s__Unassigned.ACK-M1
OTU_63	k__Bacteria; p__Actinobacteria; c__Unassigned.Actinobacteria; o__Actinomycetales; f__Unassigned.Actinomycetales; g__Unassigned.Actinomycetales; s__Unassigned.Actinomycetales
OTU_70	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Unassigned.Solirubrobacterales; g__Unassigned.Solirubrobacterales; s__Unassigned.Solirubrobacterales
OTU_106	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__Microthrixaceae; g__Unassigned.Microthrixaceae; s__Unassigned.Microthrixaceae
OTU_79	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__C111; g__Unassigned.C111; s__Unassigned.C111
OTU_228	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__Unassigned.Acidimicrobiales; g__Unassigned.Acidimicrobiales; s__Unassigned.Acidimicrobiales
OTU_153	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__Unassigned.Acidimicrobiales; g__Unassigned.Acidimicrobiales; s__Unassigned.Acidimicrobiales
OTU_214	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__Unassigned.Acidimicrobiales; g__Unassigned.Acidimicrobiales; s__Unassigned.Acidimicrobiales
OTU_103	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__EB1017; g__Unassigned.EB1017; s__Unassigned.EB1017
OTU_62	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__EB1017; g__Unassigned.EB1017; s__Unassigned.EB1017
OTU_61	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__Unassigned.Acidimicrobiales; g__Unassigned.Acidimicrobiales; s__Unassigned.Acidimicrobiales
OTU_217	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__WCHB1-50; f__Unassigned.WCHB1-50; g__Unassigned.WCHB1-50; s__Unassigned.WCHB1-50
OTU_38	k__Bacteria; p__Chloroflexi; c__Unassigned.Chloroflexi; o__Herpetosiphonales; f__Unassigned.Herpetosiphonales; g__Unassigned.Herpetosiphonales; s__Unassigned.Herpetosiphonales
OTU_32	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__A31; f__S47; g__Unassigned.S47; s__Unassigned.S47
OTU_19	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__A4b; g__Unassigned.A4b; s__Unassigned.A4b
OTU_245	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__A4b; g__Unassigned.A4b; s__Unassigned.A4b
OTU_83	k__Bacteria; p__Chloroflexi; c__Ellin6529; o__Unassigned.Ellin6529; f__Unassigned.Ellin6529; g__Unassigned.Ellin6529; s__Unassigned.Ellin6529
